Industry,Company_Size,Website_Quality,LinkedIn_Activity,Email_Available,Location,Estimated_Revenue,Number_of_Employees,Previous_Response,Meeting_Status,Lead_Quality
Retail,Small,Average,Medium,Yes,Multan,458000.0,47,No Response,Not Scheduled,Low
Retail,Large,Average,High,No,Lahore,1031000.0,293,No Response,Not Contacted,Low
Technology,Small,Poor,High,Yes,Quetta,1584000.0,183,Positive,Completed,High
Retail,Medium,Average,High,Yes,Faisalabad,2644000.0,26,Positive,Scheduled,High
Marketing,Small,Good,Low,Yes,Faisalabad,3673000.0,328,Positive,Completed,High
Technology,Medium,Good,Low,Yes,Multan,154000.0,186,Positive,Scheduled,High
Manufacturing,Medium,Good,Low,Yes,Quetta,769000.0,357,No Response,Not Contacted,Low
Manufacturing,Medium,Good,Low,No,Lahore,,65,Negative,Completed,Low
Technology,Medium,,Low,Yes,Quetta,769000.0,238,Neutral,Completed,High
Healthcare,Medium,Good,Medium,Yes,Peshawar,760000.0,187,Positive,Not Contacted,High
Technology,Medium,Good,High,Yes,Multan,5306000.0,228,Neutral,Scheduled,High
Manufacturing,Small,Good,Low,Yes,Multan,756000.0,421,No Response,Completed,Low
Healthcare,Medium,Poor,High,Yes,Quetta,1233000.0,124,Negative,Not Scheduled,Low
Real Estate,Small,Good,High,Yes,Faisalabad,462000.0,66,No Response,Not Contacted,Low
Marketing,Small,Good,Low,No,Islamabad,5059000.0,91,Positive,Completed,Medium
Real Estate,Medium,Good,Low,Yes,Faisalabad,370000.0,41,Neutral,Not Contacted,Low
Finance,Medium,Average,Medium,Yes,Rawalpindi,1817000.0,284,Neutral,Not Scheduled,Medium
Technology,Small,Good,High,No,Quetta,1627000.0,113,Neutral,Not Contacted,Low
Manufacturing,Medium,Good,Low,Yes,Rawalpindi,1307000.0,253,Positive,Not Contacted,Medium
Technology,Small,Average,Medium,No,Multan,9147000.0,79,No Response,Not Scheduled,Low
Manufacturing,Small,Excellent,Medium,Yes,Peshawar,1591000.0,57,Positive,Completed,High
Finance,Small,Average,Low,Yes,Islamabad,955000.0,16,Negative,Not Contacted,Low
Marketing,Small,Good,High,Yes,Rawalpindi,2459000.0,157,Positive,Scheduled,High
Education,Large,Good,Medium,Yes,Islamabad,3388000.0,235,Neutral,Scheduled,High
Technology,Medium,Excellent,Low,Yes,Islamabad,323000.0,120,No Response,Not Scheduled,Low
Retail,Small,Average,Low,Yes,Multan,257000.0,83,No Response,Completed,Low
Education,Medium,Excellent,Low,Yes,Peshawar,4221000.0,79,Neutral,Not Scheduled,Medium
Finance,Large,Good,Medium,Yes,Rawalpindi,17296000.0,62,No Response,Completed,High
Healthcare,Large,,Low,Yes,Karachi,882000.0,121,Neutral,Not Contacted,Medium
Manufacturing,Small,Good,High,Yes,Lahore,3300000.0,92,Positive,Not Contacted,High
Finance,Small,Excellent,High,Yes,Karachi,4394000.0,200,Negative,Not Contacted,Medium
Finance,Large,Good,High,Yes,Islamabad,396000.0,63,No Response,Completed,High
Technology,Small,Average,Medium,Yes,Rawalpindi,1851000.0,85,No Response,Not Scheduled,Low
Technology,Small,Good,Low,Yes,Multan,2528000.0,206,Neutral,Not Scheduled,Low
Technology,Medium,Good,Low,Yes,Lahore,336000.0,76,Positive,Not Scheduled,Medium
Healthcare,Small,Excellent,Low,Yes,Quetta,3284000.0,41,Neutral,Scheduled,Medium
Technology,Medium,Excellent,Medium,Yes,Islamabad,437000.0,189,No Response,Completed,High
Retail,Small,Good,Medium,Yes,Peshawar,1172000.0,15,Negative,Scheduled,Medium
Technology,Small,Good,Medium,No,Multan,369000.0,657,No Response,Completed,Medium
Healthcare,Medium,Good,Medium,Yes,Islamabad,365000.0,64,Neutral,Not Contacted,Low
Technology,Small,Poor,High,No,Multan,5048000.0,31,No Response,Scheduled,Low
Education,Small,Average,,No,Quetta,1520000.0,11,Negative,Completed,Low
Finance,Large,Good,Medium,Yes,Rawalpindi,3749000.0,95,Neutral,Not Contacted,Medium
Healthcare,Medium,Excellent,Medium,Yes,Karachi,1536000.0,74,Negative,Not Contacted,Low
Real Estate,Medium,Average,Low,No,Quetta,1249000.0,82,Neutral,Not Scheduled,Low
Marketing,Small,Average,High,No,Faisalabad,906000.0,468,No Response,Scheduled,Low
Technology,Large,Excellent,Medium,Yes,Faisalabad,1650000.0,24,Positive,Not Scheduled,High
Technology,Small,Average,Medium,Yes,Islamabad,4828000.0,605,No Response,Not Scheduled,Low
Healthcare,Small,Good,High,Yes,Faisalabad,335000.0,97,Positive,Completed,High
Healthcare,Small,Good,Low,Yes,Islamabad,904000.0,70,No Response,Scheduled,Low
Finance,Large,,Medium,Yes,Rawalpindi,841000.0,38,Positive,Scheduled,High
Real Estate,Medium,Excellent,High,Yes,Quetta,1815000.0,34,Neutral,Not Contacted,Medium
Retail,Medium,Poor,High,Yes,Rawalpindi,1011000.0,65,No Response,Scheduled,Low
Real Estate,Small,Average,Low,Yes,Faisalabad,365000.0,40,Positive,Completed,High
Education,Small,Excellent,Low,Yes,Islamabad,2164000.0,42,Positive,Not Scheduled,High
Education,Large,Good,Low,Yes,Rawalpindi,904000.0,361,No Response,Scheduled,High
Retail,Small,Excellent,Medium,Yes,Quetta,1967000.0,47,Positive,Not Scheduled,Medium
Healthcare,Small,Poor,Low,No,Quetta,274000.0,126,No Response,Completed,Low
Healthcare,Medium,Excellent,High,Yes,Faisalabad,1425000.0,262,Neutral,Not Contacted,High
Healthcare,Large,Good,Low,Yes,Rawalpindi,423000.0,30,No Response,Scheduled,Low
Real Estate,Medium,Good,Medium,Yes,Quetta,667000.0,390,Positive,Not Contacted,High
Marketing,Small,Average,Low,No,Multan,2054000.0,16,No Response,Completed,Low
Marketing,Small,Average,High,Yes,Karachi,1222000.0,623,Neutral,Not Scheduled,Low
Finance,Large,Good,Low,No,Quetta,6788000.0,119,Positive,Not Scheduled,Medium
Finance,Medium,Good,Medium,Yes,Lahore,199000.0,72,No Response,Scheduled,Medium
Technology,Small,Excellent,Low,Yes,Karachi,1498000.0,63,No Response,Not Contacted,Low
Retail,Small,Good,High,Yes,Karachi,595000.0,99,Positive,Not Contacted,High
Education,Small,Good,High,Yes,Faisalabad,5181000.0,693,No Response,Completed,High
Technology,Small,Average,Medium,Yes,Faisalabad,6087000.0,31,Negative,Not Scheduled,Low
Technology,Small,Good,Low,Yes,Karachi,3405000.0,305,Positive,Scheduled,High
Technology,Medium,Average,Low,Yes,Quetta,901000.0,377,No Response,Scheduled,Low
Education,Small,Excellent,Low,Yes,Peshawar,2507000.0,155,Negative,Not Contacted,Low
Healthcare,Medium,Excellent,High,Yes,Multan,1049000.0,24,Neutral,Completed,High
Marketing,Medium,Excellent,Low,Yes,Multan,1140000.0,636,No Response,Scheduled,Medium
Manufacturing,Medium,Average,High,Yes,Quetta,1291000.0,59,Neutral,Completed,High
Finance,Small,Good,High,Yes,Multan,,32,Neutral,Completed,High
Retail,Small,Good,Medium,Yes,Karachi,6461000.0,90,Negative,Scheduled,Medium
Marketing,Small,Good,High,Yes,Karachi,544000.0,33,Neutral,Not Scheduled,Low
Marketing,Small,Good,Low,No,Multan,860000.0,85,Positive,Not Contacted,Low
Retail,Small,Average,High,Yes,Lahore,3248000.0,91,Positive,Completed,High
Retail,Medium,Poor,Low,Yes,Rawalpindi,3203000.0,71,No Response,Scheduled,Low
Marketing,Medium,Average,Medium,Yes,Multan,15655000.0,175,No Response,Not Scheduled,Low
Real Estate,Large,Excellent,Medium,No,Islamabad,168000.0,383,No Response,Not Scheduled,Low
Healthcare,Small,Excellent,Low,No,Peshawar,3946000.0,52,No Response,Scheduled,Low
Technology,Medium,Good,Medium,No,Islamabad,1685000.0,112,No Response,Not Contacted,Low
Technology,Small,Excellent,Medium,Yes,Islamabad,595000.0,213,Positive,Not Scheduled,High
Finance,Small,Excellent,Medium,Yes,Peshawar,12981000.0,255,No Response,Completed,High
Retail,Small,Excellent,High,No,Quetta,3532000.0,137,Positive,Completed,High
Healthcare,Small,Average,Medium,Yes,Islamabad,2235000.0,240,Neutral,Not Contacted,Low
Healthcare,Large,Poor,Medium,Yes,Rawalpindi,549000.0,84,Negative,Not Contacted,Low
Retail,Small,,High,Yes,Islamabad,7726000.0,265,No Response,Not Scheduled,Medium
Education,Large,Average,Medium,Yes,Multan,1022000.0,485,Positive,Completed,High
Retail,Medium,Good,Low,Yes,Faisalabad,2290000.0,917,Negative,Not Contacted,Medium
Technology,Small,Excellent,Medium,Yes,Islamabad,4015000.0,72,Positive,Not Scheduled,High
Healthcare,Large,Good,High,Yes,Multan,828000.0,106,Negative,Scheduled,High
Real Estate,Large,Poor,Low,Yes,Faisalabad,639000.0,30,Negative,Not Contacted,Low
Technology,Small,Poor,Medium,Yes,Rawalpindi,9601000.0,85,No Response,Scheduled,Low
Marketing,Medium,Good,Medium,Yes,Lahore,2269000.0,53,Positive,Not Scheduled,Medium
Finance,Small,Good,Medium,No,Islamabad,491000.0,502,No Response,Not Scheduled,Low
Marketing,Small,Good,Medium,Yes,Karachi,5189000.0,87,Positive,Not Contacted,Medium
Technology,Medium,Excellent,Low,Yes,Faisalabad,1585000.0,49,Neutral,Not Scheduled,Medium
Real Estate,Small,Poor,Medium,Yes,Rawalpindi,3625000.0,102,Neutral,Scheduled,Medium
Technology,Medium,Excellent,High,Yes,Peshawar,2693000.0,158,Negative,Not Scheduled,Medium
Retail,Medium,Average,Medium,Yes,Islamabad,948000.0,73,Positive,Scheduled,High
Technology,Large,Good,Medium,No,Quetta,1479000.0,408,Positive,Not Scheduled,High
Healthcare,Medium,Good,Medium,Yes,Rawalpindi,784000.0,472,Neutral,Completed,High
Technology,Small,,,Yes,Karachi,2948000.0,69,No Response,Completed,Medium
Education,Large,Poor,Medium,No,Multan,332000.0,51,Positive,Scheduled,Low
Technology,Small,Good,Low,Yes,Peshawar,1204000.0,81,Positive,Not Scheduled,Medium
Marketing,Small,Good,Medium,Yes,Peshawar,822000.0,204,Neutral,Not Scheduled,Medium
Education,Large,Average,Medium,Yes,Rawalpindi,1746000.0,111,Negative,Scheduled,Medium
Finance,Small,Excellent,High,Yes,Faisalabad,591000.0,118,Neutral,Scheduled,High
Technology,Small,Good,Medium,Yes,Rawalpindi,1078000.0,260,Neutral,Not Scheduled,Low
Technology,Large,Poor,Low,Yes,Multan,3370000.0,101,Positive,Completed,High
Real Estate,Small,Excellent,Medium,Yes,Quetta,1908000.0,142,No Response,Not Contacted,Medium
Technology,Small,Good,High,Yes,Quetta,2482000.0,52,Neutral,Not Contacted,Medium
Healthcare,Medium,Good,High,Yes,Faisalabad,3958000.0,31,Negative,Not Scheduled,Medium
Technology,Small,Good,Medium,Yes,Karachi,2329000.0,48,Neutral,Completed,High
Marketing,Large,Excellent,Low,Yes,Peshawar,844000.0,119,Positive,Not Scheduled,High
Finance,Medium,Good,Low,Yes,Karachi,956000.0,23,No Response,Completed,Medium
Finance,Medium,Excellent,High,No,Karachi,2014000.0,199,Positive,Not Scheduled,High
Healthcare,Medium,Good,High,Yes,Multan,7412000.0,251,Positive,Scheduled,High
Education,Small,Excellent,Low,Yes,Islamabad,881000.0,427,Neutral,Completed,High
Technology,Large,Good,Medium,Yes,Faisalabad,384000.0,261,Positive,Completed,High
Manufacturing,Medium,Good,Medium,Yes,Quetta,8947000.0,29,Neutral,Not Scheduled,Medium
Marketing,Small,Excellent,High,Yes,Peshawar,1182000.0,174,Positive,Not Contacted,High
Marketing,Small,Good,Low,No,Quetta,4639000.0,206,Neutral,Scheduled,Low
Retail,Medium,Good,High,Yes,Karachi,1708000.0,254,No Response,Not Scheduled,Medium
Technology,Large,Good,High,Yes,Peshawar,2024000.0,67,No Response,Not Contacted,Medium
Marketing,Medium,Excellent,Medium,Yes,Quetta,438000.0,49,Neutral,Scheduled,High
Retail,Small,Poor,High,Yes,Lahore,1525000.0,33,Negative,Not Scheduled,Low
Education,Small,Excellent,Medium,Yes,Islamabad,1820000.0,257,Neutral,Not Contacted,Medium
Finance,Small,Average,Medium,No,Rawalpindi,6431000.0,17,No Response,Not Contacted,Low
Retail,Small,Poor,Medium,Yes,Karachi,1107000.0,190,Neutral,Completed,Low
Real Estate,Medium,,Medium,Yes,Quetta,3273000.0,103,No Response,Scheduled,Medium
Retail,Small,Excellent,Medium,No,Rawalpindi,861000.0,44,Negative,Not Scheduled,Low
Technology,Small,Average,Low,Yes,Peshawar,1130000.0,259,Positive,Not Scheduled,Medium
Healthcare,Small,Excellent,Medium,Yes,Rawalpindi,2699000.0,42,Positive,Not Contacted,High
Finance,Small,Good,High,Yes,Islamabad,3852000.0,75,Neutral,Scheduled,High
Marketing,Medium,Good,High,Yes,Faisalabad,4759000.0,38,Negative,Completed,High
Healthcare,Large,Poor,Medium,Yes,Quetta,2046000.0,38,Neutral,Completed,High
Technology,Medium,Poor,High,Yes,Islamabad,651000.0,92,Positive,Not Contacted,Medium
Finance,Small,Good,High,Yes,Islamabad,1438000.0,172,Neutral,Not Scheduled,Medium
Finance,Small,Good,Medium,No,Islamabad,521000.0,318,Negative,Scheduled,Low
Retail,Medium,Good,High,Yes,Islamabad,471000.0,161,Positive,Not Scheduled,High
Finance,Small,Excellent,Medium,Yes,Multan,264000.0,168,No Response,Not Scheduled,Low
Technology,Small,Good,Low,Yes,Islamabad,627000.0,147,Negative,Scheduled,Low
Marketing,Large,Excellent,High,Yes,Rawalpindi,922000.0,76,Negative,Not Contacted,Medium
Retail,Small,Average,Medium,Yes,Peshawar,1835000.0,201,Positive,Completed,High
Technology,Small,Good,Medium,No,Rawalpindi,1175000.0,31,Neutral,Completed,Low
Healthcare,Small,,High,No,Rawalpindi,3560000.0,47,Positive,Not Scheduled,Medium
Finance,Small,Average,High,Yes,Karachi,3300000.0,69,Positive,Scheduled,High
Retail,Medium,Good,Low,Yes,Islamabad,1730000.0,184,Neutral,Scheduled,Medium
Real Estate,Small,Poor,High,Yes,Lahore,2203000.0,277,Positive,Not Scheduled,Medium
Real Estate,Small,Good,High,Yes,Multan,268000.0,129,Positive,Not Scheduled,High
Real Estate,Small,Good,Medium,Yes,Quetta,283000.0,414,Positive,Completed,High
Finance,Large,Good,Low,Yes,Islamabad,2304000.0,426,Positive,Scheduled,High
Marketing,Medium,Excellent,Low,Yes,Faisalabad,847000.0,25,Neutral,Not Scheduled,Medium
Real Estate,Large,Excellent,High,Yes,Karachi,3729000.0,36,Positive,Completed,High
Real Estate,Small,Good,Medium,Yes,Peshawar,508000.0,149,No Response,Not Scheduled,Low
Real Estate,Medium,Good,Medium,Yes,Faisalabad,2620000.0,63,Neutral,Scheduled,High
Finance,Medium,Good,Medium,Yes,Islamabad,319000.0,82,Positive,Not Scheduled,High
Technology,Medium,Good,High,Yes,Quetta,901000.0,42,,Not Contacted,Medium
Finance,Medium,Excellent,Medium,Yes,Faisalabad,2505000.0,103,No Response,Scheduled,High
Education,Small,Average,Low,Yes,Islamabad,1808000.0,45,Negative,Not Scheduled,Low
Finance,Large,Good,High,Yes,Islamabad,2983000.0,43,Negative,Completed,High
Technology,Large,Excellent,High,Yes,Islamabad,660000.0,22,Positive,Not Contacted,High
Marketing,Large,Good,,Yes,Islamabad,1268000.0,403,Positive,Not Contacted,High
Finance,Small,Excellent,Low,Yes,Peshawar,3951000.0,142,No Response,Completed,Medium
Education,Small,Average,Low,Yes,Quetta,3210000.0,173,Positive,Scheduled,Medium
Real Estate,Medium,Good,High,Yes,Peshawar,937000.0,137,No Response,Scheduled,Medium
Finance,Small,Good,Low,Yes,Rawalpindi,901000.0,22,No Response,Not Scheduled,Low
Real Estate,Small,Average,Medium,Yes,Karachi,115000.0,57,No Response,Not Scheduled,Low
Finance,Medium,Average,Low,Yes,Quetta,314000.0,265,Negative,Scheduled,Low
Finance,Medium,Good,Low,Yes,Multan,347000.0,135,No Response,Not Contacted,Low
Retail,Small,Excellent,Low,Yes,Lahore,3802000.0,55,Neutral,Not Scheduled,Low
Finance,Small,Good,Low,Yes,Multan,2621000.0,76,Neutral,Scheduled,Medium
Finance,Medium,Average,High,No,Quetta,1472000.0,93,No Response,Scheduled,Low
Technology,Small,Good,Medium,Yes,Peshawar,325000.0,83,Positive,Not Scheduled,Medium
Retail,Small,Poor,Medium,Yes,Faisalabad,1427000.0,45,Positive,Not Scheduled,Low
Finance,Large,Good,High,Yes,Quetta,236000.0,350,Negative,Scheduled,High
Marketing,Medium,Average,,Yes,Karachi,9254000.0,39,Neutral,Not Scheduled,Low
Education,Medium,Average,Medium,No,Karachi,3166000.0,77,Negative,Completed,Low
Technology,Small,Average,Medium,Yes,Quetta,9663000.0,130,Positive,Not Scheduled,Medium
Healthcare,Large,Poor,Medium,Yes,Multan,2956000.0,47,Neutral,Scheduled,Medium
Retail,Small,Good,Medium,No,Karachi,2124000.0,242,No Response,Completed,Low
Finance,Medium,Excellent,High,Yes,Islamabad,701000.0,299,Positive,Completed,High
Real Estate,Small,Average,Low,Yes,Karachi,7114000.0,56,Neutral,Scheduled,Low
Manufacturing,Small,Good,High,Yes,Rawalpindi,1618000.0,147,No Response,Scheduled,Medium
Marketing,Small,Good,Medium,No,Peshawar,436000.0,90,Negative,Completed,Low
Marketing,Medium,Poor,Medium,No,Islamabad,810000.0,215,Positive,Completed,Medium
Technology,Medium,Excellent,Low,Yes,Multan,750000.0,167,Negative,Not Scheduled,Medium
Manufacturing,Medium,Average,Medium,Yes,Lahore,867000.0,38,Neutral,Not Contacted,Low
Real Estate,Medium,Average,Low,Yes,Karachi,158000.0,59,No Response,Scheduled,Low
Healthcare,Small,Good,Medium,Yes,Peshawar,5391000.0,52,No Response,Not Scheduled,Low
Technology,Medium,Excellent,Medium,Yes,Quetta,796000.0,326,Positive,Completed,High
Healthcare,Small,Poor,Medium,Yes,Rawalpindi,1436000.0,109,No Response,Completed,Medium
Healthcare,Large,Average,Medium,No,Karachi,1036000.0,54,Positive,Not Scheduled,Medium
Retail,Large,Good,Medium,Yes,Rawalpindi,351000.0,31,Negative,Scheduled,Medium
Finance,Small,Good,Medium,Yes,Multan,1601000.0,125,Negative,Scheduled,Medium
Technology,Medium,Average,Medium,Yes,Faisalabad,2602000.0,228,Positive,Completed,High
Finance,Medium,Average,Medium,Yes,Faisalabad,2305000.0,223,No Response,Scheduled,Medium
Education,Medium,Average,High,No,Lahore,2588000.0,46,Positive,Scheduled,Medium
Retail,Small,Average,Medium,Yes,Islamabad,1639000.0,619,Positive,Not Contacted,Medium
Marketing,Small,Average,High,Yes,Multan,1913000.0,66,Positive,Not Contacted,Medium
Manufacturing,Small,Average,Low,Yes,Peshawar,622000.0,422,Neutral,Not Scheduled,Low
Marketing,Small,Good,Medium,Yes,Lahore,5558000.0,22,No Response,Completed,Medium
Education,Small,Good,,No,Karachi,1009000.0,149,Positive,Completed,Medium
Marketing,Small,Poor,Medium,Yes,Peshawar,6184000.0,15,No Response,Scheduled,Low
Manufacturing,Large,Poor,Low,Yes,Quetta,1640000.0,24,No Response,Scheduled,Low
Finance,Small,Good,Medium,Yes,Lahore,225000.0,26,No Response,Not Scheduled,Low
Manufacturing,Medium,Good,Low,Yes,Multan,2746000.0,109,Positive,Completed,High
Technology,Small,Average,Medium,Yes,Quetta,1725000.0,28,Positive,Completed,Medium
Healthcare,Small,Good,Medium,No,Faisalabad,,199,No Response,Not Scheduled,Low
Education,Medium,Excellent,High,Yes,Faisalabad,2024000.0,19,Positive,Scheduled,High
Retail,Medium,Excellent,Medium,Yes,Islamabad,620000.0,156,No Response,Completed,High
Technology,Small,Average,Medium,Yes,Peshawar,815000.0,69,Neutral,Scheduled,Low
Real Estate,Small,Good,Medium,Yes,Karachi,513000.0,217,Positive,Completed,High
Manufacturing,Large,Average,High,No,Karachi,1641000.0,148,Positive,Completed,High
Education,Small,Poor,Low,Yes,Rawalpindi,1794000.0,42,Positive,Not Scheduled,Low
Finance,Small,Poor,High,Yes,Islamabad,1622000.0,88,Neutral,Not Contacted,Low
Manufacturing,Small,Good,Medium,Yes,Karachi,5302000.0,100,No Response,Scheduled,Medium
Healthcare,Large,Good,Medium,Yes,Peshawar,743000.0,89,Positive,Scheduled,High
Finance,Large,Poor,Low,Yes,Multan,229000.0,82,No Response,Not Scheduled,Low
Education,Large,Good,Medium,No,Quetta,546000.0,111,No Response,Scheduled,Medium
Education,Small,Good,Medium,Yes,Multan,644000.0,30,Positive,Completed,High
Finance,Medium,Good,Medium,Yes,Rawalpindi,1686000.0,31,No Response,Not Contacted,Medium
Finance,Large,Excellent,Medium,Yes,Karachi,783000.0,222,Positive,Scheduled,High
Technology,Small,Poor,High,Yes,Rawalpindi,976000.0,33,Positive,Not Contacted,Low
Retail,Large,Excellent,High,Yes,Faisalabad,3074000.0,80,Negative,Not Scheduled,High
Education,Small,Average,Medium,Yes,Karachi,1314000.0,222,Positive,Not Contacted,Medium
Technology,Small,Excellent,High,Yes,Quetta,1370000.0,79,No Response,Completed,High
Finance,Medium,Average,Low,Yes,Peshawar,,261,No Response,Completed,Medium
Retail,Medium,Average,Low,Yes,Islamabad,1273000.0,53,No Response,Completed,Medium
Education,Medium,Good,High,Yes,Peshawar,1315000.0,581,No Response,Not Contacted,Medium
Technology,Large,Average,Medium,No,Islamabad,1933000.0,60,Positive,Not Contacted,Low
Education,Small,Excellent,High,Yes,Faisalabad,2375000.0,503,Positive,Not Contacted,High
Finance,Small,Poor,High,Yes,Quetta,2562000.0,88,Positive,Scheduled,Medium
Manufacturing,Medium,Average,Medium,Yes,Lahore,1544000.0,548,No Response,Completed,Medium
Retail,Large,Average,Medium,Yes,Quetta,2818000.0,492,No Response,Completed,High
Healthcare,Small,Excellent,Low,Yes,Faisalabad,573000.0,82,Positive,Completed,High
Education,Medium,Average,Medium,Yes,Lahore,819000.0,59,No Response,Not Scheduled,Low
Finance,Small,Excellent,Low,Yes,Islamabad,2484000.0,309,No Response,Not Scheduled,Low
Retail,Large,Good,Low,Yes,Multan,1896000.0,122,Neutral,Not Scheduled,Medium
Healthcare,Small,Average,Low,No,Islamabad,30090000.0,43,Positive,Not Contacted,Low
Marketing,Small,Excellent,Medium,No,Rawalpindi,2499000.0,96,No Response,Not Scheduled,Low
Technology,Small,Average,Medium,Yes,Lahore,724000.0,75,Positive,Scheduled,Medium
Retail,Large,Good,High,No,Islamabad,756000.0,153,Negative,Not Scheduled,Low
Finance,Small,Good,High,Yes,Multan,453000.0,96,No Response,Scheduled,Medium
Manufacturing,Small,Good,Medium,No,Rawalpindi,1197000.0,153,No Response,Completed,Low
Finance,Small,Good,High,Yes,Quetta,9995000.0,93,Positive,Scheduled,High
Manufacturing,Medium,Excellent,Low,Yes,Faisalabad,313000.0,15,No Response,Scheduled,Medium
Real Estate,Small,Average,High,Yes,Islamabad,690000.0,248,Positive,Not Contacted,Medium
Technology,Medium,Poor,High,Yes,Rawalpindi,1003000.0,48,Neutral,Completed,Medium
Manufacturing,Large,Good,Medium,Yes,Faisalabad,7031000.0,148,Neutral,Completed,High
Real Estate,Medium,Good,Low,Yes,Multan,4537000.0,47,Neutral,Not Contacted,Medium
Real Estate,Small,Good,Low,Yes,Faisalabad,4612000.0,138,Positive,Scheduled,High
Manufacturing,Large,Good,Medium,Yes,Faisalabad,2726000.0,77,Neutral,Scheduled,High
Retail,Medium,Good,Medium,Yes,Islamabad,723000.0,34,Negative,Completed,Medium
Marketing,Small,Average,Low,Yes,Peshawar,9929000.0,152,Positive,Not Contacted,Medium
Technology,Medium,Poor,Medium,Yes,Faisalabad,379000.0,16,No Response,Scheduled,Low
Finance,Medium,Excellent,Medium,Yes,Lahore,511000.0,69,Positive,Scheduled,High
Education,Large,Excellent,Medium,Yes,Lahore,3486000.0,251,Neutral,Not Scheduled,High
Technology,Small,Good,High,Yes,Peshawar,1749000.0,71,Positive,Scheduled,High
Retail,Large,Poor,Medium,Yes,Quetta,8667000.0,85,Positive,Completed,High
Marketing,Small,Good,Medium,Yes,Quetta,883000.0,213,No Response,Not Scheduled,Low
Finance,Large,Excellent,High,Yes,Karachi,2184000.0,1171,Neutral,Scheduled,High
Manufacturing,Small,Average,Low,Yes,Karachi,6208000.0,109,Neutral,Completed,Medium
Education,Large,Average,Medium,Yes,Lahore,760000.0,39,Negative,Scheduled,Medium
Retail,Small,Average,Medium,No,Islamabad,3259000.0,218,Negative,Not Scheduled,Low
Technology,Small,Good,Low,No,Quetta,4905000.0,65,Positive,Scheduled,Medium
Technology,Small,Good,Low,Yes,Rawalpindi,1962000.0,68,Neutral,Scheduled,Medium
Real Estate,Medium,Average,Medium,Yes,Islamabad,1288000.0,135,No Response,Scheduled,Medium
Retail,Medium,Good,Low,Yes,Lahore,3082000.0,93,No Response,Not Contacted,Low
Healthcare,Small,Good,Medium,Yes,Karachi,569000.0,83,No Response,Scheduled,Low
Healthcare,Large,Good,Medium,Yes,Faisalabad,3222000.0,153,No Response,Not Scheduled,Medium
Finance,Small,Average,Low,Yes,Peshawar,742000.0,241,No Response,Scheduled,Low
Healthcare,Medium,Good,Medium,Yes,Peshawar,4277000.0,418,Positive,Scheduled,High
Healthcare,Small,Excellent,Medium,Yes,Peshawar,92000.0,204,Neutral,Completed,High
Manufacturing,Small,Excellent,Medium,Yes,Faisalabad,12523000.0,93,Positive,Not Contacted,High
Healthcare,Small,Poor,Medium,Yes,Peshawar,328000.0,174,No Response,Not Scheduled,Low
Marketing,Large,Excellent,Medium,Yes,Islamabad,1531000.0,65,Positive,Completed,High
Technology,Small,Poor,Medium,Yes,Faisalabad,1389000.0,87,Positive,Scheduled,Medium
Education,Small,Average,High,Yes,Multan,15018000.0,36,Positive,Not Contacted,Medium
Manufacturing,Medium,Good,Medium,Yes,Peshawar,1342000.0,101,No Response,Not Contacted,Low
Finance,Medium,Excellent,Low,Yes,Multan,263000.0,261,No Response,Completed,Medium
Manufacturing,Large,Good,Low,Yes,Multan,5290000.0,179,No Response,Completed,High
Healthcare,Large,Poor,Low,No,Multan,395000.0,111,Positive,Not Scheduled,Low
Manufacturing,Medium,Average,Low,Yes,Islamabad,1759000.0,48,Positive,Not Contacted,Low
Healthcare,Medium,Excellent,Low,Yes,Quetta,4894000.0,132,No Response,Completed,High
Retail,Small,Good,Medium,Yes,Peshawar,3712000.0,1097,No Response,Scheduled,Medium
Finance,Small,Good,Low,Yes,Peshawar,2319000.0,75,Neutral,Completed,Medium
Healthcare,Small,Excellent,Medium,Yes,Lahore,1345000.0,48,Neutral,Not Scheduled,Medium
Healthcare,Small,Good,Medium,No,Multan,8213000.0,118,Positive,Scheduled,Medium
Healthcare,Medium,Good,Medium,Yes,Lahore,1546000.0,188,No Response,Completed,High
Finance,Medium,Excellent,Medium,Yes,Karachi,693000.0,218,Positive,Not Contacted,High
Manufacturing,Small,Excellent,Medium,Yes,Karachi,4978000.0,56,No Response,Not Scheduled,Low
Manufacturing,Medium,Average,Medium,Yes,Multan,1846000.0,112,Positive,Completed,High
Real Estate,Small,Excellent,High,Yes,Peshawar,4337000.0,74,No Response,Completed,High
Manufacturing,Medium,Good,Medium,Yes,Islamabad,634000.0,261,Neutral,Scheduled,High
Finance,Small,Excellent,Low,Yes,Karachi,1976000.0,18,Positive,Scheduled,High
Manufacturing,Medium,Good,Low,Yes,Peshawar,1397000.0,79,No Response,Scheduled,Medium
Technology,Medium,Excellent,Medium,Yes,Rawalpindi,1050000.0,248,Positive,Scheduled,High
Marketing,Large,Average,Medium,Yes,Quetta,6616000.0,94,Positive,Completed,High
Finance,Medium,Good,Low,Yes,Quetta,950000.0,82,No Response,Not Scheduled,Low
Marketing,Medium,Good,,Yes,Quetta,2989000.0,105,Neutral,Scheduled,High
Technology,Large,Excellent,Medium,No,Multan,1875000.0,44,No Response,Not Scheduled,Low
Finance,Medium,Excellent,Low,Yes,Multan,2103000.0,114,Neutral,Not Scheduled,Medium
